Session_ID,User_ID,IP_Address,Browser,Operating_System,Device_Type,Consent_Decision,Consent_Timestamp,Icon_Timestamp,Permission_Decision,Decision_Timestamp,Decision_Time_Taken_Sec,Survey_Clicked,Survey_Timestamp

session_1737368975497_kytbfz87b,user_1737294572982_e61b16y07,109.82.104.105,Chrome 131.0.0.0,MacOS,Desktop,Agree,2025-01-22T11:20:36.618Z,2025-01-22T11:20:39.828Z,allow,2025-01-22T11:20:41.694Z,1.866,N/A,N/A
session_1737368975497_kytbfz87b,user_1737294572982_e61b16y07,109.82.104.105,Chrome 131.0.0.0,MacOS,Desktop,Agree,2025-01-22T11:20:36.618Z,2025-01-22T11:20:39.828Z,allow,2025-01-22T11:20:41.694Z,1.866,true,2025-01-22T11:21:49.085Z
session_1737368975497_kytbfz87b,user_1737294572982_e61b16y07,109.82.104.105,Chrome 131.0.0.0,MacOS,Desktop,Agree,2025-01-22T11:22:49.488Z,2025-01-22T11:22:52.327Z,block,2025-01-22T11:22:53.845Z,1.518,N/A,N/A
session_1737368975497_kytbfz87b,user_1737294572982_e61b16y07,109.82.104.105,Chrome 131.0.0.0,MacOS,Desktop,Agree,2025-01-22T11:22:49.488Z,2025-01-22T11:22:52.327Z,block,2025-01-22T11:22:53.845Z,1.518,true,2025-01-22T11:23:03.933Z
session_1737368975497_kytbfz87b,user_1737294572982_e61b16y07,109.82.104.105,Chrome 131.0.0.0,MacOS,Desktop,Agree,2025-01-22T11:27:32.512Z,2025-01-22T11:27:34.965Z,dismiss,2025-01-22T11:27:35.934Z,0.969,N/A,N/A
